TIME,OPEN(T),HIGH(t),LOW(t),CLOSE(t)
10:08:27,86780,86780,86760,86760
10:08:28,86770,86770,86770,86770
10:08:29,86770,86780,86770,86770
10:08:30,86760,86770,86750,86750
10:08:31,86760,86760,86750,86750
10:08:32,86750,86750,86740,86750
10:08:33,86750,86750,86730,86730
10:08:34,86750,86750,86730,86730
10:08:35,86730,86730,86730,86740
10:08:36,86730,86730,86720,86720
10:08:37,86720,86720,86720,86720
10:08:38,86720,86720,86710,86710
10:08:39,86710,86710,86680,86690
10:08:40,86690,86760,86690,86740
10:08:41,86720,86730,86720,86720
10:08:42,86720,86730,86720,86710
10:08:43,86710,86710,86700,86700
10:08:44,86700,86710,86700,86700
10:08:45,86690,86700,86690,86700
10:08:46,86700,86700,86700,86700
10:08:47,86710,86710,86700,86700
10:08:48,86710,86720,86710,86730
10:08:49,86720,86730,86720,86710
10:08:50,86710,86710,86700,86720
10:08:51,86700,86710,86700,86700
10:08:52,86710,86710,86690,86700
10:08:53,86700,86700,86690,86700
10:08:54,86690,86690,86690,86690
10:08:55,86700,86710,86700,86710
10:08:56,86710,86710,86700,86700
10:08:57,86710,86710,86710,86700
10:08:58,86710,86710,86690,86700
10:08:59,86690,86700,86690,86690
10:09:00,86690,86700,86680,86680
10:09:01,86680,86700,86660,86650
10:09:02,86660,86680,86650,86680
10:09:03,86660,86680,86660,86660
10:09:04,86660,86680,86660,86690
10:09:05,86680,86680,86680,86670
10:09:06,86680,86680,86670,86670
10:09:07,86670,86680,86670,86670
10:09:08,86670,86680,86670,86670
10:09:09,86680,86680,86660,86680
10:09:10,86680,86690,86680,86670
10:09:11,86670,86670,86650,86660
10:09:12,86650,86660,86650,86650
10:09:13,86650,86660,86610,86630
10:09:14,86630,86640,86620,86640
10:09:15,86640,86640,86620,86640
10:09:16,86620,86630,86610,86620
10:09:17,86610,86620,86610,86600
10:09:18,86600,86630,86600,86620
10:09:19,86640,86650,86600,86630
10:09:20,86610,86630,86610,86620
10:09:21,86640,86640,86600,86630
10:09:22,86640,86650,86630,86620
10:09:23,86620,86640,86620,86630
10:09:24,86620,86620,86620,86620
10:09:25,86630,86630,86610,86610
10:09:26,86630,86630,86630,86610
10:09:27,86610,86610,86580,86600
10:09:28,86610,86610,86590,86600
10:09:29,86600,86600,86580,86600
10:09:30,86600,86600,86590,86600
10:09:31,86600,86600,86590,86600
10:09:32,86600,86600,86590,86600
10:09:33,86590,86610,86590,86590
10:09:34,86590,86610,86590,86600
10:09:35,86600,86620,86600,86620
10:09:36,86600,86620,86600,86620
10:09:37,86620,86620,86610,86620
10:09:38,86620,86620,86620,86620
10:09:39,86620,86630,86610,86620
10:09:40,86620,86630,86610,86620
10:09:41,86610,86620,86600,86600
10:09:42,86610,86610,86610,86610
10:09:43,86600,86620,86600,86620
10:09:44,86610,86610,86600,86600
10:09:45,86600,86600,86590,86600
10:09:46,86600,86600,86570,86580
10:09:47,86570,86590,86570,86590
10:09:48,86590,86590,86590,86590
10:09:49,86570,86570,86570,86600
10:09:50,86590,86600,86580,86580
10:09:51,86600,86600,86560,86570
10:09:52,86580,86600,86580,86590
10:09:53,86610,86610,86600,86590
10:09:54,86590,86600,86590,86590
10:09:55,86580,86580,86570,86570
10:09:56,86570,86580,86570,86580
10:09:57,86570,86580,86570,86560
10:09:58,86570,86590,86560,86570
10:09:59,86580,86590,86580,86580
10:10:00,86580,86580,86540,86560
10:10:01,86540,86550,86520,86520
10:10:02,86520,86540,86510,86530
10:10:03,86520,86540,86520,86540
10:10:04,86520,86540,86520,86540
10:10:05,86540,86540,86520,86540
10:10:06,86520,86540,86520,86520
10:10:07,86540,86540,86520,86520
10:10:08,86520,86530,86510,86520
10:10:09,86510,86530,86510,86530
10:10:10,86520,86530,86510,86530
10:10:11,86520,86530,86520,86530
10:10:12,86520,86530,86510,86520
10:10:13,86510,86530,86510,86530
10:10:14,86510,86530,86510,86510
10:10:15,86510,86510,86480,86510
10:10:16,86510,86520,86500,86510
10:10:17,86510,86520,86500,86520
10:10:18,86520,86520,86500,86510
10:10:19,86510,86510,86500,86500
10:10:20,86510,86510,86500,86520
10:10:21,86510,86520,86500,86520
10:10:22,86510,86520,86500,86510
10:10:23,86510,86510,86510,86500
10:10:24,86510,86510,86500,86510
10:10:25,86500,86510,86500,86500
10:10:26,86510,86510,86490,86500
10:10:27,86500,86510,86480,86510
10:10:28,86490,86500,86490,86490
10:10:29,86500,86500,86490,86480
10:10:30,86500,86500,86490,86490
10:10:31,86490,86510,86490,86500
10:10:32,86490,86490,86490,86490
10:10:33,86480,86480,86470,86470
10:10:34,86470,86490,86470,86490
10:10:35,86480,86500,86480,86490
10:10:36,86490,86500,86480,86490
10:10:37,86490,86490,86490,86490
10:10:38,86480,86480,86480,86480
10:10:39,86500,86500,86480,86500
10:10:40,86500,86500,86490,86500
10:10:41,86500,86500,86500,86500
10:10:42,86500,86510,86500,86500
10:10:43,86510,86510,86470,86500
10:10:44,86510,86520,86500,86520
10:10:45,86510,86510,86500,86510
10:10:46,86510,86510,86500,86500
10:10:47,86490,86490,86460,86480
10:10:48,86460,86470,86460,86470
10:10:49,86470,86480,86460,86480
10:10:50,86470,86470,86460,86460
10:10:51,86460,86460,86440,86440
10:10:52,86440,86440,86420,86430
10:10:53,86430,86450,86420,86440
10:10:54,86450,86450,86450,86440
10:10:55,86460,86460,86450,86460
10:10:56,86470,86480,86470,86480
10:10:57,86490,86490,86470,86480
10:10:58,86480,86490,86470,86480
10:10:59,86470,86480,86470,86480
10:11:00,86480,86480,86470,86470
10:11:01,86470,86470,86440,86450
10:11:02,86460,86460,86440,86450
10:11:03,86460,86460,86440,86460
10:11:05,86460,86460,86450,86450
10:11:06,86460,86460,86460,86450
10:11:07,86450,86470,86450,86460
10:11:08,86450,86450,86420,86460
10:11:09,86460,86460,86450,86460
10:11:10,86450,86460,86450,86450
10:11:11,86460,86460,86450,86470
10:11:12,86460,86470,86460,86460
10:11:13,86450,86450,86440,86450
10:11:14,86450,86450,86450,86450
10:11:15,86460,86460,86440,86440
10:11:16,86440,86460,86440,86460
10:11:17,86460,86460,86450,86460
10:11:18,86470,86470,86460,86470
10:11:19,86460,86460,86450,86460
10:11:20,86460,86460,86460,86460
10:11:21,86460,86460,86460,86460
10:11:22,86460,86470,86460,86470
10:11:23,86470,86470,86460,86470
10:11:24,86470,86470,86460,86470
10:11:25,86470,86470,86460,86470
10:11:26,86460,86490,86460,86470
10:11:27,86490,86490,86470,86470
10:11:28,86490,86490,86480,86490
10:11:29,86480,86500,86470,86500
10:11:30,86500,86500,86490,86500
10:11:31,86500,86510,86500,86510
10:11:32,86500,86520,86500,86520
10:11:33,86510,86530,86510,86530
10:11:34,86530,86530,86520,86520
10:11:35,86520,86530,86510,86520
10:11:36,86520,86530,86500,86510
10:11:37,86490,86510,86490,86500
10:11:38,86500,86500,86480,86480
10:11:39,86480,86480,86470,86470
10:11:40,86480,86490,86460,86490
10:11:41,86480,86480,86480,86480
10:11:42,86490,86490,86480,86480
10:11:43,86490,86490,86490,86490
10:11:44,86490,86490,86490,86490
10:11:45,86480,86490,86480,86490
10:11:46,86490,86500,86490,86500
10:11:47,86500,86500,86500,86500
10:11:48,86490,86490,86490,86490
10:11:49,86500,86520,86500,86500
10:11:50,86500,86510,86500,86520
10:11:51,86510,86520,86510,86520
10:11:52,86530,86530,86480,86500
10:11:53,86480,86490,86480,86490
10:11:54,86500,86500,86490,86490
10:11:55,86500,86500,86500,86500
10:11:56,86480,86490,86480,86480
10:11:57,86470,86470,86470,86470
10:11:58,86470,86480,86470,86480
10:11:59,86480,86490,86480,86490
10:12:00,86470,86490,86460,86460
10:12:01,86460,86460,86440,86430
10:12:02,86440,86450,86420,86440
10:12:03,86430,86450,86430,86440
10:12:04,86450,86460,86440,86440
10:12:05,86440,86440,86440,86440
10:12:06,86460,86460,86460,86460
10:12:07,86460,86460,86460,86460
10:12:08,86460,86470,86460,86470
10:12:09,86470,86470,86470,86470
10:12:10,86480,86490,86480,86480
10:12:11,86490,86500,86490,86490
10:12:12,86480,86500,86480,86500
10:12:13,86500,86500,86500,86500
10:12:14,86500,86510,86500,86510
10:12:15,86510,86510,86500,86500
10:12:16,86510,86510,86510,86500
10:12:17,86500,86500,86490,86500
10:12:18,86490,86490,86490,86490
10:12:19,86490,86520,86490,86520
